Car ID	Make	Make (Full Name)	Model	Model (Full Name)	Manufacture Year	Age	 Miles 	 Miles / Year 	Color	Driver	Warantee Miles	Covered?	New Car ID
HY12ELA050	HY	Hundai	ELA	Elantra	12	12	" 22,282.00 "	" 1,856.83 "	Blue	McCall	100000	Y	HY12ELABLU050
HY13ELA051	HY	Hundai	ELA	Elantra	13	11	" 20,223.90 "	" 1,838.54 "	Black	Praulty	100000	Y	HY13ELABLA051
HY13ELA052	HY	Hundai	ELA	Elantra	13	11	" 22,188.50 "	" 2,017.14 "	Blue	Ewenty	100000	Y	HY13ELABLU052
													
													
													
													
	CR	Crysler	CAM	Camerey									
	FD	Ford	CAR	Caravan									
	GM	General Motors	CIV	Civic									
	HO	Honda	CMR	Camero									
	HY	Hundai	COR	Corola									
	TY	Toyota	ELA	Elantra									
			FCS	Focus									
			MTG	Mustang									
			ODY	Odyssey									
			PTC	PT Cruiser									
			SLV	Silverado									
